Title,Genres,Publishers,Review Score,Console,Rating,Year
The Legend of Heroes: A Tear of Vermillion,Role-Playing (RPG),,68,Sony PSP,T,2005
PQ: Practical Intelligence Quotient,Strategy,,69,Sony PSP,E,2005
Lost in Blue,Role-Playing (RPG),Konami,69,Nintendo DS,T,2005
Ghost in the Shell: Stand Alone Complex,Action,Sony,61,Sony PSP,E,2005
Dig Dug: Digging Strike,Action,Namco,65,Nintendo DS,E,2005
Frogger: Helmet Chaos,Action,Konami,69,Nintendo DS,E,2005
Mega Man Battle Network 5: Double Team DS,"Action,Role-Playing (RPG)",Capcom,68,Nintendo DS,E,2005
Nanostray,Action,THQ,71,Nintendo DS,E,2005
Sega Casino,Simulation,Sega,61,Nintendo DS,M,2005
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,"Action,Adventure",Konami,58,Nintendo DS,T,2005
Pac-Man World 3,Action,"EA,Namco",61,Sony PSP,E,2005
Tokobot,Strategy,,72,Sony PSP,T,2005
Fullmetal Alchemist: Dual Sympathy,Action,,58,Nintendo DS,M,2005
Exit,Action,Ubisoft,77,Sony PSP,E,2005
Bubble Bobble Revolution,Action,,38,Nintendo DS,M,2005
The Rub Rabbits!,"Action,Adventure",Sega,68,Nintendo DS,M,2005
Electroplankton,Simulation,Nintendo,71,Nintendo DS,T,2005
LifeSigns: Surgical Unit,"Simulation,Strategy",,61,Nintendo DS,T,2005
Space Invaders Revolution,Action,,49,Nintendo DS,E,2005
Wii Play,"Action,Sports",Nintendo,58,Nintendo Wii,T,2006
New Super Mario Bros.,Action,Nintendo,89,Nintendo DS,T,2006
Pokmon Diamond,Role-Playing (RPG),Nintendo,85,Nintendo DS,E,2006
Pokmon Pearl,Role-Playing (RPG),Nintendo,85,Nintendo DS,E,2006
Gears of War,Action,Microsoft,94,X360,M,2006
The Legend of Zelda: Twilight Princess,"Action,Role-Playing (RPG)",Nintendo,95,Nintendo Wii,M,2006
Cooking Mama,Simulation,,67,Nintendo DS,M,2006
Marvel Ultimate Alliance,"Action,Role-Playing (RPG)",Activision,82,X360,T,2006
Daxter,Action,Sony,85,Sony PSP,T,2006
The Elder Scrolls IV: Oblivion,"Action,Role-Playing (RPG)",2K,94,X360,E,2006
Madden NFL 07,Sports,EA,80,X360,E,2006
Grand Theft Auto: Vice City Stories,"Action,Racing / Driving",Rockstar,86,Sony PSP,E,2006
Resistance: Fall of Man,Action,Sony,86,PlayStation 3,E,2006
MotorStorm,"Action,Racing / Driving,Sports",Sony,82,PlayStation 3,T,2006
Call of Duty 3,Action,Activision,82,X360,T,2006
